Year,NCPOP
1900,1897000
1901,1926000
1902,1956000
1903,1986000
1904,2017000
1905,2051000
1906,2077000
1907,2105000
1908,2142000
1909,2174000
1910,2221000
1911,2276000
1912,2313000
1913,2362000
1914,2421000
1915,2473000
1916,2513000
1917,2546000
1918,2522000
1919,2535000
1920,2588000
1921,2651000
1922,2700000
1923,2761000
1924,2830000
1925,2895000
1926,2959000
1927,3027000
1928,3082000
1929,3133000
1930,3167000
1931,3184000
1932,3227000
1933,3268000
1934,3304000
1935,3323000
1936,3346000
1937,3385000
1938,3440000
1939,3514000
1940,3574000
1941,3589000
1942,3569000
1943,3654000
1944,3560000
1945,3533000
1946,3706000
1947,3769000
1948,3837000
1949,3911000
1950,4068000
1951,4120000
1952,4109000
1953,4120000
1954,4131000
1955,4242000
1956,4309000
1957,4368000
1958,4376000
1959,4458000
1960,4573000
1961,4663000
1962,4707000
1963,4742000
1964,4802000
1965,4863000
1966,4896000
1967,4952000
1968,5004000
1969,5031000
1970,5084411
1971,5203531
1972,5301150
1973,5389852
1974,5470911
1975,5547188
1976,5607964
1977,5685607
1978,5759492
1979,5823491
1980,5898980
1981,5956653
1982,6019101
1983,6077056
1984,6164006
1985,6253954
1986,6321578
1987,6403700
1988,6480594
1989,6565459
1990,6656987
1991,6748135
1992,6831850
1993,6947412
1994,7060959
1995,7185403
1996,7307658
1997,7428672
1998,7545828
1999,7650789
2000,8081614
2001,8210122
2002,8326201
2003,8422501
2004,8553152
2005,8705407
2006,8917270
2007,9118037
2008,9309449
2009,9449566
2010,9574586
2011,9658913
2012,9751810
2013,9846717
2014,9937295
2015,10037218
2016,10161802
2017,10275758
2018,10391358
2019,10501384
2020,10457177
2021,10551162
